name,display_name,pubmed_occurrence
"gonadal dysgenesis, mixed","Gonadal Dysgenesis, Mixed",152
double outlet right ventricle,Double Outlet Right Ventricle,152
spondylosis,Spondylosis,151
mikulicz' disease,Mikulicz' Disease,151
landau-kleffner syndrome,Landau-Kleffner Syndrome,151
"dermatitis, toxicodendron","Dermatitis, Toxicodendron",151
optic nerve glioma,Optic Nerve Glioma,150
channelopathies,Channelopathies,150
adenomatoid tumor,Adenomatoid Tumor,149
"pulmonary adenomatosis, ovine","Pulmonary Adenomatosis, Ovine",148
necatoriasis,Necatoriasis,148
maxillofacial abnormalities,Maxillofacial Abnormalities,148
"parkinson disease, postencephalitic","Parkinson Disease, Postencephalitic",148
hereditary central nervous system demyelinating diseases,Hereditary Central Nervous System Demyelinating Diseases,148
hermanski-pudlak syndrome,Hermanski-Pudlak Syndrome,148
afferent loop syndrome,Afferent Loop Syndrome,147
choroideremia,Choroideremia,147
"purpura, hyperglobulinemic","Purpura, Hyperglobulinemic",147
egg hypersensitivity,Egg Hypersensitivity,147
nevus of ota,Nevus of Ota,146
hemopneumothorax,Hemopneumothorax,146
antithrombin iii deficiency,Antithrombin III Deficiency,146
neuroaspergillosis,Neuroaspergillosis,145
sarcocystosis,Sarcocystosis,145
pruritus ani,Pruritus Ani,145
pyruvate dehydrogenase complex deficiency disease,Pyruvate Dehydrogenase Complex Deficiency Disease,145
leukoencephalopathies,Leukoencephalopathies,145
leriche syndrome,Leriche Syndrome,145
persistent hyperinsulinemia hypoglycemia of infancy,Persistent Hyperinsulinemia Hypoglycemia of Infancy,145
periodontal cyst,Periodontal Cyst,144
brown-sequard syndrome,Brown-Sequard Syndrome,144
multicystic dysplastic kidney,Multicystic Dysplastic Kidney,144
parturient paresis,Parturient Paresis,144
compulsive personality disorder,Compulsive Personality Disorder,144
echinostomiasis,Echinostomiasis,143
middle lobe syndrome,Middle Lobe Syndrome,143
feline infectious peritonitis,Feline Infectious Peritonitis,142
ganglioneuroblastoma,Ganglioneuroblastoma,141
"epilepsy, benign neonatal","Epilepsy, Benign Neonatal",141
sjogren-larsson syndrome,Sjogren-Larsson Syndrome,141
glucose metabolism disorders,Glucose Metabolism Disorders,141
patellar dislocation,Patellar Dislocation,141
adenosarcoma,Adenosarcoma,140
"glycosuria, renal","Glycosuria, Renal",140
"diabetes mellitus, lipoatrophic","Diabetes Mellitus, Lipoatrophic",140
yang deficiency,Yang Deficiency,140
flavivirus infections,Flavivirus Infections,139
"niemann-pick disease, type c","Niemann-Pick Disease, Type C",139
dysgeusia,Dysgeusia,139
"onchocerciasis, ocular","Onchocerciasis, Ocular",138
usher syndromes,Usher Syndromes,138
"mucinosis, follicular","Mucinosis, Follicular",138
histrionic personality disorder,Histrionic Personality Disorder,138
"neoplasms, adnexal and skin appendage","Neoplasms, Adnexal and Skin Appendage",136
paraneoplastic polyneuropathy,Paraneoplastic Polyneuropathy,136
pleuropneumonia,Pleuropneumonia,136
"myasthenia gravis, autoimmune, experimental","Myasthenia Gravis, Autoimmune, Experimental",136
hyperthyroxinemia,Hyperthyroxinemia,136
anti-neutrophil cytoplasmic antibody-associated vasculitis,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,135
xyy karyotype,XYY Karyotype,135
acalculous cholecystitis,Acalculous Cholecystitis,134
parasomnias,Parasomnias,134
hematometra,Hematometra,134
convalescence,Convalescence,134
bacillaceae infections,Bacillaceae Infections,133
vagus nerve diseases,Vagus Nerve Diseases,133
korsakoff syndrome,Korsakoff Syndrome,133
pruritus vulvae,Pruritus Vulvae,133
"scleroderma, limited","Scleroderma, Limited",133
pityriasis lichenoides,Pityriasis Lichenoides,133
"disease models, animal","Disease Models, Animal",133
knee dislocation,Knee Dislocation,133
osteoporotic fractures,Osteoporotic Fractures,133
mobius syndrome,Mobius Syndrome,132
pyomyositis,Pyomyositis,131
krukenberg tumor,Krukenberg Tumor,131
"carcinoma, brown-pearce","Carcinoma, Brown-Pearce",131
"bone demineralization, pathologic","Bone Demineralization, Pathologic",131
"diverticulosis, colonic","Diverticulosis, Colonic",131
"ear deformities, acquired","Ear Deformities, Acquired",131
pelizaeus-merzbacher disease,Pelizaeus-Merzbacher Disease,131
"ichthyosis, x-linked","Ichthyosis, X-Linked",131
hyperlipoproteinemia type v,Hyperlipoproteinemia Type V,131
delayed graft function,Delayed Graft Function,131
erythroplasia,Erythroplasia,130
"hypophosphatemic rickets, x-linked dominant","Hypophosphatemic Rickets, X-Linked Dominant",130
"hearing loss, unilateral","Hearing Loss, Unilateral",130
alpha-mannosidosis,alpha-Mannosidosis,130
primate diseases,Primate Diseases,130
gait ataxia,Gait Ataxia,129
ventricular remodeling,Ventricular Remodeling,129
myotonic disorders,Myotonic Disorders,128
"sialometaplasia, necrotizing","Sialometaplasia, Necrotizing",128
"metal metabolism, inborn errors","Metal Metabolism, Inborn Errors",128
cholecystolithiasis,Cholecystolithiasis,127
gingival pocket,Gingival Pocket,127
sarcopenia,Sarcopenia,127
branchio-oto-renal syndrome,Branchio-Oto-Renal Syndrome,127
"eczema, dyshidrotic","Eczema, Dyshidrotic",127
sleep bruxism,Sleep Bruxism,126
invasive pulmonary aspergillosis,Invasive Pulmonary Aspergillosis,126
epispadias,Epispadias,126
"panniculitis, lupus erythematosus","Panniculitis, Lupus Erythematosus",126
parakeratosis,Parakeratosis,126
hyperacusis,Hyperacusis,125
seroma,Seroma,125
isaacs syndrome,Isaacs Syndrome,124
"muscular disorders, atrophic","Muscular Disorders, Atrophic",124
dentin dysplasia,Dentin Dysplasia,124
"amnesia, anterograde","Amnesia, Anterograde",124
staphylococcal food poisoning,Staphylococcal Food Poisoning,123
"fibroma, desmoplastic","Fibroma, Desmoplastic",123
epilepsia partialis continua,Epilepsia Partialis Continua,123
"leukoplakia, hairy","Leukoplakia, Hairy",122
"neoplasms, complex and mixed","Neoplasms, Complex and Mixed",122
"dyspnea, paroxysmal","Dyspnea, Paroxysmal",122
ageusia,Ageusia,122
adrenogenital syndrome,Adrenogenital Syndrome,122
carbuncle,Carbuncle,121
citrullinemia,Citrullinemia,121
hydrophthalmos,Hydrophthalmos,121
"menopause, premature","Menopause, Premature",121
alexander disease,Alexander Disease,120
ectopia lentis,Ectopia Lentis,120
"placenta, retained","Placenta, Retained",120
monteggia's fracture,Monteggia's Fracture,120
flail chest,Flail Chest,120
"keratoconjunctivitis, infectious","Keratoconjunctivitis, Infectious",119
photophobia,Photophobia,119
hidradenitis,Hidradenitis,119
lipid metabolism disorders,Lipid Metabolism Disorders,119
follicular cyst,Follicular Cyst,118
gastric antral vascular ectasia,Gastric Antral Vascular Ectasia,118
postpericardiotomy syndrome,Postpericardiotomy Syndrome,118
"glossitis, benign migratory","Glossitis, Benign Migratory",117
"intracranial hemorrhage, hypertensive","Intracranial Hemorrhage, Hypertensive",117
sneddon syndrome,Sneddon Syndrome,117
orbital cellulitis,Orbital Cellulitis,117
acneiform eruptions,Acneiform Eruptions,117
autolysis,Autolysis,117
peste-des-petits-ruminants,Peste-des-Petits-Ruminants,116
neurothekeoma,Neurothekeoma,116
gonadoblastoma,Gonadoblastoma,116
hydrarthrosis,Hydrarthrosis,116
pericoronitis,Pericoronitis,116
alcohol withdrawal seizures,Alcohol Withdrawal Seizures,116
dyssomnias,Dyssomnias,116
isolated noncompaction of the ventricular myocardium,Isolated Noncompaction of the Ventricular Myocardium,116
chilblains,Chilblains,116
dipetalonema infections,Dipetalonema Infections,115
"mesothelioma, cystic","Mesothelioma, Cystic",115
"neoplasms, cystic, mucinous, and serous","Neoplasms, Cystic, Mucinous, and Serous",115
cracked tooth syndrome,Cracked Tooth Syndrome,115
myocardial bridging,Myocardial Bridging,115
out-of-hospital cardiac arrest,Out-of-Hospital Cardiac Arrest,115
"dermatitis, perioral","Dermatitis, Perioral",115
immunoproliferative small intestinal disease,Immunoproliferative Small Intestinal Disease,114
"colitis, collagenous","Colitis, Collagenous",114
retrobulbar hemorrhage,Retrobulbar Hemorrhage,114
coagulation protein disorders,Coagulation Protein Disorders,114
phencyclidine abuse,Phencyclidine Abuse,114
myxosarcoma,Myxosarcoma,113
sagittal sinus thrombosis,Sagittal Sinus Thrombosis,113
asthenozoospermia,Asthenozoospermia,113
"odontogenic cyst, calcifying","Odontogenic Cyst, Calcifying",111
"venereal tumors, veterinary","Venereal Tumors, Veterinary",111
"esophageal spasm, diffuse","Esophageal Spasm, Diffuse",111
lafora disease,Lafora Disease,111
acrodynia,Acrodynia,111
glycogen storage disease type iv,Glycogen Storage Disease Type IV,111
hepadnaviridae infections,Hepadnaviridae Infections,110
tracheobronchomegaly,Tracheobronchomegaly,110
cavernous sinus thrombosis,Cavernous Sinus Thrombosis,110
erysipeloid,Erysipeloid,109
circoviridae infections,Circoviridae Infections,109
growth hormone-secreting pituitary adenoma,Growth Hormone-Secreting Pituitary Adenoma,109
nasopharyngitis,Nasopharyngitis,109
aphonia,Aphonia,109
"hyperglycinemia, nonketotic","Hyperglycinemia, Nonketotic",109
gitelman syndrome,Gitelman Syndrome,109
breech presentation,Breech Presentation,109
"ectromelia, infectious","Ectromelia, Infectious",108
sarcoma 37,Sarcoma 37,108
equinus deformity,Equinus Deformity,108
"infarction, posterior cerebral artery","Infarction, Posterior Cerebral Artery",108
platelet storage pool deficiency,Platelet Storage Pool Deficiency,108
cafe-au-lait spots,Cafe-au-Lait Spots,108
salivary gland fistula,Salivary Gland Fistula,107
respiratory system abnormalities,Respiratory System Abnormalities,107
amaurosis fugax,Amaurosis Fugax,107
"leukemia, neutrophilic, chronic","Leukemia, Neutrophilic, Chronic",107
edema disease of swine,Edema Disease of Swine,107
inert gas narcosis,Inert Gas Narcosis,107
glanders,Glanders,106
adrenal rest tumor,Adrenal Rest Tumor,106
oral fistula,Oral Fistula,106
"cerebral hemorrhage, traumatic","Cerebral Hemorrhage, Traumatic",106
cervical rib syndrome,Cervical Rib Syndrome,106
buruli ulcer,Buruli Ulcer,105
feline panleukopenia,Feline Panleukopenia,105
fowlpox,Fowlpox,105
"leukemia, biphenotypic, acute","Leukemia, Biphenotypic, Acute",105
rectocele,Rectocele,105
miosis,Miosis,105
marburg virus disease,Marburg Virus Disease,104
dental pulp exposure,Dental Pulp Exposure,104
hydropneumothorax,Hydropneumothorax,104
anisocoria,Anisocoria,104
digestive system fistula,Digestive System Fistula,103
"optic atrophy, autosomal dominant","Optic Atrophy, Autosomal Dominant",103
"apraxia, ideomotor","Apraxia, Ideomotor",103
"pregnancy, prolonged","Pregnancy, Prolonged",103
sadism,Sadism,103
"encephalitis, st. louis","Encephalitis, St. Louis",102
trichostrongylosis,Trichostrongylosis,102
"neuroectodermal tumor, melanotic","Neuroectodermal Tumor, Melanotic",102
"protoporphyria, erythropoietic","Protoporphyria, Erythropoietic",102
tolosa-hunt syndrome,Tolosa-Hunt Syndrome,102
thrombotic microangiopathies,Thrombotic Microangiopathies,102
nut hypersensitivity,Nut Hypersensitivity,102
isochromosomes,Isochromosomes,102
exhibitionism,Exhibitionism,102
hallermann's syndrome,Hallermann's Syndrome,101
intertrigo,Intertrigo,101
hydroa vacciniforme,Hydroa Vacciniforme,101
wheat hypersensitivity,Wheat Hypersensitivity,101
"mastocytosis, cutaneous","Mastocytosis, Cutaneous",100
"papilloma, choroid plexus","Papilloma, Choroid Plexus",100
"hearing loss, functional","Hearing Loss, Functional",100
glossopharyngeal nerve diseases,Glossopharyngeal Nerve Diseases,100
insulin coma,Insulin Coma,100
aortopulmonary septal defect,Aortopulmonary Septal Defect,100
multiple pulmonary nodules,Multiple Pulmonary Nodules,99
"hyperostosis, sternocostoclavicular","Hyperostosis, Sternocostoclavicular",99
"wasting disease, chronic","Wasting Disease, Chronic",99
piebaldism,Piebaldism,99
masochism,Masochism,99
haemonchiasis,Haemonchiasis,98
myofibroma,Myofibroma,98
plummer-vinson syndrome,Plummer-Vinson Syndrome,98
gerstmann syndrome,Gerstmann Syndrome,98
central serous chorioretinopathy,Central Serous Chorioretinopathy,98
schnitzler syndrome,Schnitzler Syndrome,98
erythema induratum,Erythema Induratum,97
enterotoxemia,Enterotoxemia,97
rheumatic nodule,Rheumatic Nodule,97
postcholecystectomy syndrome,Postcholecystectomy Syndrome,97
intracranial arterial diseases,Intracranial Arterial Diseases,97
post-traumatic headache,Post-Traumatic Headache,97
jet lag syndrome,Jet Lag Syndrome,97
yin deficiency,Yin Deficiency,97
alcohol-induced disorders,Alcohol-Induced Disorders,97
"leukemia, large granular lymphocytic","Leukemia, Large Granular Lymphocytic",96
"plagiocephaly, nonsynostotic","Plagiocephaly, Nonsynostotic",96
basal ganglia cerebrovascular disease,Basal Ganglia Cerebrovascular Disease,96
hartnup disease,Hartnup Disease,96
freemartinism,Freemartinism,96
rat-bite fever,Rat-Bite Fever,95
"leukemia, feline","Leukemia, Feline",95
enoplida infections,Enoplida Infections,95
klatskin's tumor,Klatskin's Tumor,95
"myopathy, central core","Myopathy, Central Core",95
"drug-induced liver injury, chronic","Drug-Induced Liver Injury, Chronic",95
post-dural puncture headache,Post-Dural Puncture Headache,95
retropneumoperitoneum,Retropneumoperitoneum,95
central nervous system protozoal infections,Central Nervous System Protozoal Infections,94
"sarcoma, small cell","Sarcoma, Small Cell",94
hidrocystoma,Hidrocystoma,94
meningism,Meningism,94
cubital tunnel syndrome,Cubital Tunnel Syndrome,94
uterine inversion,Uterine Inversion,94
wolman disease,Wolman Disease,94
"encephalitis, varicella zoster","Encephalitis, Varicella Zoster",93
neuroschistosomiasis,Neuroschistosomiasis,93
"intracranial hemorrhage, traumatic","Intracranial Hemorrhage, Traumatic",93
"encephalitis, california","Encephalitis, California",92
astroviridae infections,Astroviridae Infections,92
balantidiasis,Balantidiasis,92
"neoplasms, adipose tissue","Neoplasms, Adipose Tissue",92
ainhum,Ainhum,92
"muscular dystrophy, oculopharyngeal","Muscular Dystrophy, Oculopharyngeal",92
"granuloma, laryngeal","Granuloma, Laryngeal",92
myoclonic cerebellar dyssynergia,Myoclonic Cerebellar Dyssynergia,92
binge-eating disorder,Binge-Eating Disorder,92
birnaviridae infections,Birnaviridae Infections,91
neuromuscular junction diseases,Neuromuscular Junction Diseases,91
kleine-levin syndrome,Kleine-Levin Syndrome,91
"thrombocytopenia, neonatal alloimmune","Thrombocytopenia, Neonatal Alloimmune",91
corneal wavefront aberration,Corneal Wavefront Aberration,90
cytochrome-c oxidase deficiency,Cytochrome-c Oxidase Deficiency,90
"leiomyoma, epithelioid","Leiomyoma, Epithelioid",89
opsoclonus-myoclonus syndrome,Opsoclonus-Myoclonus Syndrome,89
short rib-polydactyly syndrome,Short Rib-Polydactyly Syndrome,89
steatorrhea,Steatorrhea,89
perinephritis,Perinephritis,89
miliaria,Miliaria,89
body dysmorphic disorders,Body Dysmorphic Disorders,89
swine vesicular disease,Swine Vesicular Disease,88
acth-secreting pituitary adenoma,ACTH-Secreting Pituitary Adenoma,88
ventilator-induced lung injury,Ventilator-Induced Lung Injury,88
"infarction, anterior cerebral artery","Infarction, Anterior Cerebral Artery",88
moraxellaceae infections,Moraxellaceae Infections,87
african horse sickness,African Horse Sickness,87
"pleurodynia, epidemic","Pleurodynia, Epidemic",87
"nevus, intradermal","Nevus, Intradermal",87
spina bifida cystica,Spina Bifida Cystica,87
"lead poisoning, nervous system, childhood","Lead Poisoning, Nervous System, Childhood",87
lymphatic abnormalities,Lymphatic Abnormalities,87
mycotoxicosis,Mycotoxicosis,87
phlebotomus fever,Phlebotomus Fever,86
ephemeral fever,Ephemeral Fever,86
ascaridiasis,Ascaridiasis,86
"pyloric stenosis, hypertrophic","Pyloric Stenosis, Hypertrophic",86
septo-optic dysplasia,Septo-Optic Dysplasia,86
gyrate atrophy,Gyrate Atrophy,86
low tension glaucoma,Low Tension Glaucoma,86
wissler's syndrome,Wissler's Syndrome,85
high pressure neurological syndrome,High Pressure Neurological Syndrome,85
tricuspid atresia,Tricuspid Atresia,85
vascular system injuries,Vascular System Injuries,85
retrograde degeneration,Retrograde Degeneration,84
cowpox,Cowpox,83
"hepatitis d, chronic","Hepatitis D, Chronic",83
"regurgitation, gastric","Regurgitation, Gastric",83
wet macular degeneration,Wet Macular Degeneration,83
fetal nutrition disorders,Fetal Nutrition Disorders,83
rhinophyma,Rhinophyma,83
"pneumonia of swine, mycoplasmal","Pneumonia of Swine, Mycoplasmal",82
perivascular epithelioid cell neoplasms,Perivascular Epithelioid Cell Neoplasms,82
distal myopathies,Distal Myopathies,82
"positive-pressure respiration, intrinsic","Positive-Pressure Respiration, Intrinsic",82
"hematoma, subdural, intracranial","Hematoma, Subdural, Intracranial",82
"leukemia, myelomonocytic, juvenile","Leukemia, Myelomonocytic, Juvenile",81
"colitis, microscopic","Colitis, Microscopic",81
"cardiac output, high","Cardiac Output, High",81
"neoplasms, fibroepithelial","Neoplasms, Fibroepithelial",80
"upper extremity deformities, congenital","Upper Extremity Deformities, Congenital",80
focal epithelial hyperplasia,Focal Epithelial Hyperplasia,80
fucosidosis,Fucosidosis,80
"sleep disorders, intrinsic","Sleep Disorders, Intrinsic",80
chromosome fragility,Chromosome Fragility,80
mansonelliasis,Mansonelliasis,79
langer-giedion syndrome,Langer-Giedion Syndrome,79
breast cyst,Breast Cyst,78
chalazion,Chalazion,78
leopard syndrome,LEOPARD Syndrome,78
tonic pupil,Tonic Pupil,78
retinal dysplasia,Retinal Dysplasia,78
cholesterol ester storage disease,Cholesterol Ester Storage Disease,78
porcine postweaning multisystemic wasting syndrome,Porcine Postweaning Multisystemic Wasting Syndrome,78
catastrophic illness,Catastrophic Illness,78
swine erysipelas,Swine Erysipelas,77
"lymphoma, primary effusion","Lymphoma, Primary Effusion",77
anal gland neoplasms,Anal Gland Neoplasms,77
hip contracture,Hip Contracture,77
microstomia,Microstomia,77
"meningitis, escherichia coli","Meningitis, Escherichia coli",76
hand deformities,Hand Deformities,76
hand-arm vibration syndrome,Hand-Arm Vibration Syndrome,76
"keratoderma, palmoplantar, diffuse","Keratoderma, Palmoplantar, Diffuse",76
parovarian cyst,Parovarian Cyst,75
no-reflow phenomenon,No-Reflow Phenomenon,75
adiposis dolorosa,Adiposis Dolorosa,75
paranoid personality disorder,Paranoid Personality Disorder,75
border disease,Border Disease,74
hiv enteropathy,HIV Enteropathy,74
"glioma, subependymal","Glioma, Subependymal",74
laron syndrome,Laron Syndrome,74
"phenylketonuria, maternal","Phenylketonuria, Maternal",74
necrobiotic disorders,Necrobiotic Disorders,74
eosinophilic esophagitis,Eosinophilic Esophagitis,73
ichthyosis vulgaris,Ichthyosis Vulgaris,73
sclerema neonatorum,Sclerema Neonatorum,73
hyperamylasemia,Hyperamylasemia,73
"conjunctivitis, acute hemorrhagic","Conjunctivitis, Acute Hemorrhagic",72
meningeal carcinomatosis,Meningeal Carcinomatosis,72
trigger finger disorder,Trigger Finger Disorder,72
spermatocele,Spermatocele,72
"hematoma, subdural, spinal","Hematoma, Subdural, Spinal",72
dependent personality disorder,Dependent Personality Disorder,72
osteophyte,Osteophyte,71
"lung, hyperlucent","Lung, Hyperlucent",71
"pain, referred","Pain, Referred",71
sex chromosome disorders,Sex Chromosome Disorders,71
henipavirus infections,Henipavirus Infections,70
peritoneal fibrosis,Peritoneal Fibrosis,70
lateral sinus thrombosis,Lateral Sinus Thrombosis,70
neuroaxonal dystrophies,Neuroaxonal Dystrophies,70
echolalia,Echolalia,70
trench fever,Trench Fever,69
cyclosporiasis,Cyclosporiasis,69
pulmonary subvalvular stenosis,Pulmonary Subvalvular Stenosis,69
postthrombotic syndrome,Postthrombotic Syndrome,69
hemostatic disorders,Hemostatic Disorders,69
lichen nitidus,Lichen Nitidus,69
"leukemia, myeloid, accelerated phase","Leukemia, Myeloid, Accelerated Phase",68
acanthoma,Acanthoma,68
anastomotic leak,Anastomotic Leak,68
cystocele,Cystocele,68
"pre-excitation, mahaim-type","Pre-Excitation, Mahaim-Type",68
posterior tibial tendon dysfunction,Posterior Tibial Tendon Dysfunction,67
"brain hemorrhage, traumatic","Brain Hemorrhage, Traumatic",67
arcus senilis,Arcus Senilis,67
primary graft dysfunction,Primary Graft Dysfunction,67
"neoplasms, post-traumatic","Neoplasms, Post-Traumatic",66
glycogen storage disease type vii,Glycogen Storage Disease Type VII,66
"enteritis, transmissible, of turkeys","Enteritis, Transmissible, of Turkeys",65
hypodermyiasis,Hypodermyiasis,65
mastocytoma,Mastocytoma,65
"osteosarcoma, juxtacortical","Osteosarcoma, Juxtacortical",65
"subarachnoid hemorrhage, traumatic","Subarachnoid Hemorrhage, Traumatic",65
myokymia,Myokymia,65
"lead poisoning, nervous system","Lead Poisoning, Nervous System",65
"gonadal dysgenesis, 46,xx","Gonadal Dysgenesis, 46,XX",65
nijmegen breakage syndrome,Nijmegen Breakage Syndrome,65
"myxomatosis, infectious","Myxomatosis, Infectious",64
"leishmaniasis, diffuse cutaneous","Leishmaniasis, Diffuse Cutaneous",64
"solitary fibrous tumor, pleural","Solitary Fibrous Tumor, Pleural",64
pachyonychia congenita,Pachyonychia Congenita,64
gonadal disorders,Gonadal Disorders,64
tick toxicoses,Tick Toxicoses,64
tooth ankylosis,Tooth Ankylosis,63
"tachycardia, sinoatrial nodal reentry","Tachycardia, Sinoatrial Nodal Reentry",63
systemic vasculitis,Systemic Vasculitis,63
microscopic polyangiitis,Microscopic Polyangiitis,63
scleromyxedema,Scleromyxedema,63
sebaceous gland diseases,Sebaceous Gland Diseases,63
"leukemia, mast-cell","Leukemia, Mast-Cell",62
unverricht-lundborg syndrome,Unverricht-Lundborg Syndrome,62
"insomnia, fatal familial","Insomnia, Fatal Familial",62
lutembacher syndrome,Lutembacher Syndrome,62
overnutrition,Overnutrition,62
central nervous system helminthiasis,Central Nervous System Helminthiasis,61
leber congenital amaurosis,Leber Congenital Amaurosis,61
"aortic stenosis, supravalvular","Aortic Stenosis, Supravalvular",61
sublingual gland neoplasms,Sublingual Gland Neoplasms,60
pseudobulbar palsy,Pseudobulbar Palsy,60
"skull fracture, depressed","Skull Fracture, Depressed",60
hereditary autoinflammatory diseases,Hereditary Autoinflammatory Diseases,60
macrophage activation syndrome,Macrophage Activation Syndrome,60
"dendritic cell sarcoma, follicular","Dendritic Cell Sarcoma, Follicular",59
central nervous system venous angioma,Central Nervous System Venous Angioma,59
caplan syndrome,Caplan Syndrome,59
hepatic insufficiency,Hepatic Insufficiency,59
postural orthostatic tachycardia syndrome,Postural Orthostatic Tachycardia Syndrome,59
hyperpituitarism,Hyperpituitarism,59
ciguatera poisoning,Ciguatera Poisoning,59
tinea favosa,Tinea Favosa,58
"mixed tumor, mesodermal","Mixed Tumor, Mesodermal",58
pulmonary sclerosing hemangioma,Pulmonary Sclerosing Hemangioma,58
idiopathic interstitial pneumonias,Idiopathic Interstitial Pneumonias,58
sea-blue histiocyte syndrome,Sea-Blue Histiocyte Syndrome,58
sunct syndrome,SUNCT Syndrome,58
"tongue, fissured","Tongue, Fissured",57
trigeminal autonomic cephalalgias,Trigeminal Autonomic Cephalalgias,57
denys-drash syndrome,Denys-Drash Syndrome,56
"decalcification, pathologic","Decalcification, Pathologic",56
"colitis, lymphocytic","Colitis, Lymphocytic",56
tibial neuropathy,Tibial Neuropathy,56
pars planitis,Pars Planitis,56
tick paralysis,Tick Paralysis,56
arterivirus infections,Arterivirus Infections,55
"adenoma, basophil","Adenoma, Basophil",55
end stage liver disease,End Stage Liver Disease,55
thyroid dysgenesis,Thyroid Dysgenesis,55
rigor mortis,Rigor Mortis,55
"neoplasms, gonadal tissue","Neoplasms, Gonadal Tissue",54
kluver-bucy syndrome,Kluver-Bucy Syndrome,54
spinal cord vascular diseases,Spinal Cord Vascular Diseases,54
accessory nerve diseases,Accessory Nerve Diseases,54
lissencephaly,Lissencephaly,54
sulfhemoglobinemia,Sulfhemoglobinemia,54
candidemia,Candidemia,53
visna,Visna,53
wagr syndrome,WAGR Syndrome,53
neurofibrosarcoma,Neurofibrosarcoma,53
"skull fracture, basilar","Skull Fracture, Basilar",53
aortic valve prolapse,Aortic Valve Prolapse,53
anterior wall myocardial infarction,Anterior Wall Myocardial Infarction,53
x-linked combined immunodeficiency diseases,X-Linked Combined Immunodeficiency Diseases,53
proteostasis deficiencies,Proteostasis Deficiencies,53
prosthesis failure,Prosthesis Failure,53
flavobacteriaceae infections,Flavobacteriaceae Infections,52
geotrichosis,Geotrichosis,52
"chondrodysplasia punctata, rhizomelic","Chondrodysplasia Punctata, Rhizomelic",52
tooth wear,Tooth Wear,52
neointima,Neointima,52
"lower extremity deformities, congenital","Lower Extremity Deformities, Congenital",51
sphincter of oddi dysfunction,Sphincter of Oddi Dysfunction,51
nesidioblastosis,Nesidioblastosis,51
alcoholic neuropathy,Alcoholic Neuropathy,51
livedo reticularis,Livedo Reticularis,51
coprophagia,Coprophagia,51
central nervous system parasitic infections,Central Nervous System Parasitic Infections,50
"neoplasms, connective and soft tissue","Neoplasms, Connective and Soft Tissue",50
anterior spinal artery syndrome,Anterior Spinal Artery Syndrome,50
"lead poisoning, nervous system, adult","Lead Poisoning, Nervous System, Adult",50
discrete subaortic stenosis,Discrete Subaortic Stenosis,50
tricuspid valve prolapse,Tricuspid Valve Prolapse,50
leukostasis,Leukostasis,50
acne keloid,Acne Keloid,50
acute generalized exanthematous pustulosis,Acute Generalized Exanthematous Pustulosis,50
immunoproliferative disorders,Immunoproliferative Disorders,50
"hepatitis, infectious canine","Hepatitis, Infectious Canine",49
"enterocolitis, neutropenic","Enterocolitis, Neutropenic",49
"tongue, hairy","Tongue, Hairy",49
orthostatic intolerance,Orthostatic Intolerance,49
"gangliosidoses, gm2","Gangliosidoses, GM2",49
neuroacanthocytosis,Neuroacanthocytosis,49
classical lissencephalies and subcortical band heterotopias,Classical Lissencephalies and Subcortical Band Heterotopias,49
endoleak,Endoleak,49
fox-fordyce disease,Fox-Fordyce Disease,49
monieziasis,Monieziasis,48
endometrial stromal tumors,Endometrial Stromal Tumors,48
parasystole,Parasystole,48
wandering spleen,Wandering Spleen,48
"ectodermal dysplasia 1, anhidrotic","Ectodermal Dysplasia 1, Anhidrotic",48
cryopyrin-associated periodic syndromes,Cryopyrin-Associated Periodic Syndromes,48
dna repair-deficiency disorders,DNA Repair-Deficiency Disorders,48
erythrasma,Erythrasma,47
monkeypox,Monkeypox,47
ascaridida infections,Ascaridida Infections,47
dientamoebiasis,Dientamoebiasis,47
paroxysmal hemicrania,Paroxysmal Hemicrania,47
hematocele,Hematocele,47
prenatal injuries,Prenatal Injuries,47
andersen syndrome,Andersen Syndrome,47
prehypertension,Prehypertension,47
"lipodystrophy, congenital generalized","Lipodystrophy, Congenital Generalized",47
bovine respiratory disease complex,Bovine Respiratory Disease Complex,46
glycogen storage disease type iib,Glycogen Storage Disease Type IIb,46
sleep paralysis,Sleep Paralysis,46
sleep-wake transition disorders,Sleep-Wake Transition Disorders,46
ovotesticular disorders of sex development,Ovotesticular Disorders of Sex Development,46
blue toe syndrome,Blue Toe Syndrome,46
purpura fulminans,Purpura Fulminans,46
wolf-hirschhorn syndrome,Wolf-Hirschhorn Syndrome,46
lingual thyroid,Lingual Thyroid,46
"skin diseases, metabolic","Skin Diseases, Metabolic",46
"hemorrhagic septicemia, viral","Hemorrhagic Septicemia, Viral",45
oesophagostomiasis,Oesophagostomiasis,45
"nervous system autoimmune disease, experimental","Nervous System Autoimmune Disease, Experimental",45
basal ganglia hemorrhage,Basal Ganglia Hemorrhage,45
putaminal hemorrhage,Putaminal Hemorrhage,45
synkinesis,Synkinesis,45
paraphimosis,Paraphimosis,45
leukocyte disorders,Leukocyte Disorders,45
"lipodystrophy, familial partial","Lipodystrophy, Familial Partial",45
blackwater fever,Blackwater Fever,44
"choriocarcinoma, non-gestational","Choriocarcinoma, Non-gestational",44
